Employee_Wage_Id,PREVAILING_WAGE,PW_UNIT_OF_PAY,PW_WAGE_LEVEL,WAGE_RATE_OF_PAY_FROM,WAGE_RATE_OF_PAY_TO,WAGE_UNIT_OF_PAY,Employee_Id
46376,121763.0,Year,II,167918.4,0.0,Year,54909
46377,102253.0,Year,IV,160000.0,0.0,Year,54910
46378,64230.0,Year,II,140000.0,0.0,Year,54911
46379,71011.0,Year,II,71011.0,97600.0,Year,54912
46380,208000.0,Year,No Record,208000.0,0.0,Year,54913
46381,44470.0,Year,I,55312.14,0.0,Year,54914
46382,95555.0,Year,III,95555.0,0.0,Year,54915
46383,80330.0,Year,II,101754.0,0.0,Year,54916
46384,84989.0,Year,III,99400.0,0.0,Year,54917
46385,95326.0,Year,III,95326.0,150750.0,Year,54918
46386,180190.0,Year,III,182000.0,0.0,Year,54919
46387,80829.0,Year,II,94037.0,0.0,Year,54920
46388,46987.0,Year,I,54210.0,0.0,Year,54921
46389,193731.0,Year,II,230000.0,0.0,Year,54922
46390,68702.0,Year,III,125000.0,0.0,Year,54923
46391,119350.0,Year,II,150000.0,0.0,Year,54924
46392,96158.0,Year,II,104000.0,149600.0,Year,54925
46393,129322.0,Year,No Record,129322.0,167000.0,Year,54926
46394,140920.0,Year,III,182000.0,0.0,Year,54927
46395,86632.0,Year,II,86632.0,94100.0,Year,54928
46396,67995.0,Year,I,90600.0,0.0,Year,54929
46397,130894.0,Year,II,151000.0,0.0,Year,54930
46398,147035.0,Year,II,147035.0,220000.0,Year,54931
46399,58302.0,Year,IV,73700.0,0.0,Year,54932
46400,45053.0,Year,I,52000.0,0.0,Year,54933
46401,100443.0,Year,II,225000.0,0.0,Year,54934
46402,75005.0,Year,II,75005.0,0.0,Year,54935
46403,130894.0,Year,II,130894.0,188000.0,Year,54936
46404,101754.0,Year,II,184800.0,0.0,Year,54937
46405,141378.0,Year,IV,153700.0,0.0,Year,54938
46406,49480.0,Year,I,49480.0,0.0,Year,54939
46407,43.46,Hour,II,50.0,0.0,Hour,54940
46408,96907.0,Year,II,96907.0,99898.0,Year,54941
46409,107598.0,Year,IV,107598.0,178000.0,Year,54942
46410,80163.0,Year,II,81000.0,0.0,Year,54943
46411,116043.0,Year,II,158000.0,0.0,Year,54944
46412,75005.0,Year,II,75005.0,0.0,Year,54945
46413,121763.0,Year,II,121764.0,0.0,Year,54946
46414,164154.0,Year,IV,165000.0,0.0,Year,54947
46415,120224.0,Year,III,120224.0,163600.0,Year,54948
46416,109928.0,Year,IV,109928.0,160200.0,Year,54949
46417,92685.0,Year,II,92685.0,95000.0,Year,54950
46418,101941.0,Year,III,108000.0,0.0,Year,54951
46419,101754.0,Year,II,165000.0,0.0,Year,54952
46420,128315.0,Year,IV,130000.0,145000.0,Year,54953
46421,102107.0,Year,II,116699.0,0.0,Year,54954
46422,76045.0,Year,II,76045.0,90000.0,Year,54955
46423,164717.0,Year,No Record,170000.0,0.0,Year,54956
46424,68515.0,Year,I,68515.0,83000.0,Year,54957
46425,85530.0,Year,I,89600.0,0.0,Year,54958
46426,53.24,Hour,IV,71.06,0.0,Hour,54959
46427,114483.0,Year,III,114483.0,224200.0,Year,54960
46428,91508.0,Year,No Record,91508.0,117156.0,Year,54961
46429,70949.0,Year,III,108709.0,0.0,Year,54962
46430,141378.0,Year,IV,220000.0,0.0,Year,54963
46431,118206.0,Year,IV,134000.0,176750.0,Year,54964
46432,98259.0,Year,III,115694.44,0.0,Year,54965
46433,92082.0,Year,II,102000.0,0.0,Year,54966
46434,106912.0,Year,IV,106912.0,122700.0,Year,54967
46435,162510.0,Year,IV,200000.0,0.0,Year,54968
46436,176030.0,Year,II,176030.0,185000.0,Year,54969
46437,51.89,Hour,III,60.0,0.0,Hour,54970
46438,101587.0,Year,III,101587.0,0.0,Year,54971
46439,91874.0,Year,II,92000.0,0.0,Year,54972
46440,193731.0,Year,II,235000.0,0.0,Year,54973
46441,130894.0,Year,II,130894.0,0.0,Year,54974
46442,140421.0,Year,III,190422.78,0.0,Year,54975
46443,141695.0,Year,No Record,145500.0,0.0,Year,54976
46444,100880.0,Year,III,106600.0,0.0,Year,54977
46445,138174.0,Year,II,148000.0,0.0,Year,54978
46446,162510.0,Year,IV,162510.0,216900.0,Year,54979
46447,119350.0,Year,II,155000.0,0.0,Year,54980
46448,119122.0,Year,IV,190000.0,0.0,Year,54981
46449,75546.0,Year,I,79914.0,0.0,Year,54982
46450,157477.0,Year,III,157477.0,0.0,Year,54983
46451,84240.0,Year,II,85000.0,105000.0,Year,54984
46452,123469.0,Year,III,135000.0,0.0,Year,54985
46453,121763.0,Year,II,130000.0,0.0,Year,54986
46454,84989.0,Year,III,86000.0,0.0,Year,54987
46455,79851.0,Year,II,98000.0,0.0,Year,54988
46456,99944.0,Year,II,99944.0,0.0,Year,54989
46457,136797.0,Year,No Record,145000.0,0.0,Year,54990
46458,70000.0,Year,No Record,70000.0,0.0,Year,54991
46459,128500.0,Year,No Record,128500.0,132608.0,Year,54992
46460,52187.0,Year,I,85000.0,0.0,Year,54993
46461,104832.0,Year,III,104832.0,0.0,Year,54994
46462,163599.0,Year,No Record,173028.0,0.0,Year,54995
46463,71968.0,Year,II,117500.0,0.0,Year,54996
46464,97760.0,Year,I,98000.0,0.0,Year,54997
46465,52842.0,Year,No Record,111425.0,0.0,Year,54998
46466,132642.0,Year,IV,144184.0,259536.0,Year,54999
46467,98779.0,Year,I,146000.0,0.0,Year,55000
46468,104832.0,Year,III,104832.0,141272.26,Year,55001
46469,142438.0,Year,III,180000.0,0.0,Year,55002
